date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2022-10-01,0,0,False,0.0,0.0
2022-10-02,26,26,False,0.26,6.76
2022-10-03,60,60,False,0.6,36.0
2022-10-04,0,0,False,0.0,0.0
2022-10-05,0,0,False,0.0,0.0
2022-10-06,0,0,False,0.0,0.0
2022-10-07,46,46,False,0.46,21.16
2022-10-08,0,0,False,0.0,0.0
2022-10-09,77,77,False,0.77,59.29
2022-10-10,0,0,False,0.0,0.0
2022-10-11,0,0,False,0.0,0.0
2022-10-12,30,30,False,0.3,9.0
2022-10-13,0,0,False,0.0,0.0
2022-10-14,0,0,False,0.0,0.0
2022-10-15,0,0,False,0.0,0.0
2022-10-16,37,37,False,0.37,13.69
2022-10-17,26,26,False,0.26,6.76
2022-10-18,100,100,False,1.0,100.0
2022-10-19,0,0,False,0.0,0.0
2022-10-20,26,26,False,0.26,6.76
2022-10-21,71,71,False,0.71,50.41
2022-10-22,0,0,False,0.0,0.0
2022-10-23,0,0,False,0.0,0.0
2022-10-24,0,0,False,0.0,0.0
2022-10-25,71,71,False,0.71,50.41
2022-10-26,0,0,False,0.0,0.0
2022-10-27,40,40,False,0.4,16.0
2022-10-28,21,21,False,0.21,4.41
2022-10-29,0,0,False,0.0,0.0
2022-10-30,48,48,False,0.48,23.04
2022-10-31,61,61,False,0.61,37.21
