date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2022-12-01,0,0,False,0.0,0.0
2022-12-02,0,0,False,0.0,0.0
2022-12-03,0,0,False,0.0,0.0
2022-12-04,70,70,False,0.7,49.0
2022-12-05,0,0,False,0.0,0.0
2022-12-06,42,42,False,0.42,17.64
2022-12-07,0,0,False,0.0,0.0
2022-12-08,0,0,False,0.0,0.0
2022-12-09,0,0,False,0.0,0.0
2022-12-10,82,82,False,0.82,67.24
2022-12-11,0,0,False,0.0,0.0
2022-12-12,32,32,False,0.32,10.24
2022-12-13,38,38,False,0.38,14.44
2022-12-14,0,0,False,0.0,0.0
2022-12-15,100,100,False,1.0,100.0
2022-12-16,0,0,False,0.0,0.0
2022-12-17,0,0,False,0.0,0.0
2022-12-18,0,0,False,0.0,0.0
2022-12-19,67,67,False,0.67,44.89
2022-12-20,0,0,False,0.0,0.0
2022-12-21,0,0,False,0.0,0.0
2022-12-22,0,0,False,0.0,0.0
2022-12-23,0,0,False,0.0,0.0
2022-12-24,67,67,False,0.67,44.89
2022-12-25,0,0,False,0.0,0.0
2022-12-26,0,0,False,0.0,0.0
2022-12-27,0,0,False,0.0,0.0
2022-12-28,36,36,False,0.36,12.959999999999999
2022-12-29,0,0,False,0.0,0.0
2022-12-30,0,0,False,0.0,0.0
2022-12-31,64,64,False,0.64,40.96
