date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2005-11-01,0,0,False,0.0,0.0
2005-11-02,0,0,False,0.0,0.0
2005-11-03,0,0,False,0.0,0.0
2005-11-04,0,0,False,0.0,0.0
2005-11-05,0,0,False,0.0,0.0
2005-11-06,0,0,False,0.0,0.0
2005-11-07,0,0,False,0.0,0.0
2005-11-08,0,0,False,0.0,0.0
2005-11-09,0,0,False,0.0,0.0
2005-11-10,41,41,False,0.41,16.81
2005-11-11,0,0,False,0.0,0.0
2005-11-12,0,0,False,0.0,0.0
2005-11-13,0,0,False,0.0,0.0
2005-11-14,0,0,False,0.0,0.0
2005-11-15,0,0,False,0.0,0.0
2005-11-16,0,0,False,0.0,0.0
2005-11-17,0,0,False,0.0,0.0
2005-11-18,0,0,False,0.0,0.0
2005-11-19,0,0,False,0.0,0.0
2005-11-20,0,0,False,0.0,0.0
2005-11-21,0,0,False,0.0,0.0
2005-11-22,0,0,False,0.0,0.0
2005-11-23,0,0,False,0.0,0.0
2005-11-24,85,85,False,0.85,72.25
2005-11-25,49,49,False,0.49,24.009999999999998
2005-11-26,69,69,False,0.69,47.61
2005-11-27,100,100,False,1.0,100.0
2005-11-28,30,30,False,0.3,9.0
2005-11-29,59,59,False,0.59,34.809999999999995
2005-11-30,0,0,False,0.0,0.0
