date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2022-10-01,0,0,False,0.0,0.0
2022-10-02,30,30,False,0.3,9.0
2022-10-03,0,0,False,0.0,0.0
2022-10-04,39,39,False,0.39,15.21
2022-10-05,0,0,False,0.0,0.0
2022-10-06,0,0,False,0.0,0.0
2022-10-07,30,30,False,0.3,9.0
2022-10-08,0,0,False,0.0,0.0
2022-10-09,0,0,False,0.0,0.0
2022-10-10,0,0,False,0.0,0.0
2022-10-11,0,0,False,0.0,0.0
2022-10-12,28,28,False,0.28,7.840000000000001
2022-10-13,48,48,False,0.48,23.04
2022-10-14,0,0,False,0.0,0.0
2022-10-15,33,33,False,0.33,10.89
2022-10-16,55,55,False,0.55,30.250000000000004
2022-10-17,0,0,False,0.0,0.0
2022-10-18,36,36,False,0.36,12.959999999999999
2022-10-19,0,0,False,0.0,0.0
2022-10-20,0,0,False,0.0,0.0
2022-10-21,60,60,False,0.6,36.0
2022-10-22,43,43,False,0.43,18.49
2022-10-23,0,0,False,0.0,0.0
2022-10-24,0,0,False,0.0,0.0
2022-10-25,0,0,False,0.0,0.0
2022-10-26,67,67,False,0.67,44.89
2022-10-27,26,26,False,0.26,6.76
2022-10-28,0,0,False,0.0,0.0
2022-10-29,100,100,False,1.0,100.0
2022-10-30,0,0,False,0.0,0.0
2022-10-31,30,30,False,0.3,9.0
