date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2022-11-01,0,0,False,0.0,0.0
2022-11-02,0,0,False,0.0,0.0
2022-11-03,0,0,False,0.0,0.0
2022-11-04,46,46,False,0.46,21.16
2022-11-05,17,17,False,0.17,2.89
2022-11-06,17,17,False,0.17,2.89
2022-11-07,100,100,False,1.0,100.0
2022-11-08,9,9,False,0.09,0.8099999999999999
2022-11-09,0,0,False,0.0,0.0
2022-11-10,19,19,False,0.19,3.61
2022-11-11,0,0,False,0.0,0.0
2022-11-12,15,15,False,0.15,2.25
2022-11-13,0,0,False,0.0,0.0
2022-11-14,15,15,False,0.15,2.25
2022-11-15,11,11,False,0.11,1.21
2022-11-16,0,0,False,0.0,0.0
2022-11-17,12,12,False,0.12,1.44
2022-11-18,22,22,False,0.22,4.84
2022-11-19,0,0,False,0.0,0.0
2022-11-20,35,35,False,0.35,12.25
2022-11-21,0,0,False,0.0,0.0
2022-11-22,0,0,False,0.0,0.0
2022-11-23,0,0,False,0.0,0.0
2022-11-24,0,0,False,0.0,0.0
2022-11-25,0,0,False,0.0,0.0
2022-11-26,0,0,False,0.0,0.0
2022-11-27,24,24,False,0.24,5.76
2022-11-28,9,9,False,0.09,0.8099999999999999
2022-11-29,0,0,False,0.0,0.0
2022-11-30,0,0,False,0.0,0.0
