date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2022-11-01,0,0,False,0.0,0.0
2022-11-02,0,0,False,0.0,0.0
2022-11-03,0,0,False,0.0,0.0
2022-11-04,0,0,False,0.0,0.0
2022-11-05,0,0,False,0.0,0.0
2022-11-06,0,0,False,0.0,0.0
2022-11-07,0,0,False,0.0,0.0
2022-11-08,0,0,False,0.0,0.0
2022-11-09,68,68,False,0.68,46.24
2022-11-10,0,0,False,0.0,0.0
2022-11-11,0,0,False,0.0,0.0
2022-11-12,100,100,False,1.0,100.0
2022-11-13,0,0,False,0.0,0.0
2022-11-14,0,0,False,0.0,0.0
2022-11-15,0,0,False,0.0,0.0
2022-11-16,0,0,False,0.0,0.0
2022-11-17,0,0,False,0.0,0.0
2022-11-18,0,0,False,0.0,0.0
2022-11-19,0,0,False,0.0,0.0
2022-11-20,0,0,False,0.0,0.0
2022-11-21,0,0,False,0.0,0.0
2022-11-22,0,0,False,0.0,0.0
2022-11-23,0,0,False,0.0,0.0
2022-11-24,0,0,False,0.0,0.0
2022-11-25,0,0,False,0.0,0.0
2022-11-26,0,0,False,0.0,0.0
2022-11-27,0,0,False,0.0,0.0
2022-11-28,51,51,False,0.51,26.01
2022-11-29,28,28,False,0.28,7.840000000000001
2022-11-30,0,0,False,0.0,0.0
